Name,WHO_Region,Cases_cumulative_total,Cases_cumulative_total_per_100000_population,Cases_newly_reported_in_last_7_days,Cases_newly reported in last 7 days per 100000 population,Cases_newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Montenegro,Europe,221896,35330.27,4976,792.278,665,2582,411.106,47,7.483,14
Kosovo[1],Europe,212628,11841.178,17961,1000.242,2110,3022,168.294,24,1.337,5
Kyrgyzstan,Europe,199164,3052.7,1727,26.471,202,2896,44.389,29,0.444,3
Afghanistan,Eastern Mediterranean,164727,423.154,3718,9.551,537,7420,19.061,17,0.044,2
Luxembourg,Europe,163980,26190.37,13097,2091.812,1994,956,152.689,9,1.437,0
Uganda,Africa,162007,354.183,586,1.281,0,3545,7.75,23,0.05,0
Ghana,Africa,156920,505.005,528,1.699,0,1395,4.489,11,0.035,0
Namibia,Africa,156044,6141.276,421,16.569,0,3973,156.362,26,1.023,0
Maldives,South-East Asia,145036,26831.488,14437,2670.828,0,280,51.8,6,1.11,0
China,Western Pacific,139891,9.508,1578,0.107,227,5700,0.387,0,0,0
Lao People's Democratic Republic,Western Pacific,135301,1859.664,3171,43.584,400,558,7.67,24,0.33,5
El Salvador,Americas,135109,2083.021,8097,124.834,0,3921,60.451,50,0.771,7
Rwanda,Africa,128971,995.745,342,2.64,0,1444,11.149,8,0.062,0
Jamaica,Americas,125250,4229.751,2787,94.118,283,2677,90.404,60,2.026,2
Cambodia,Western Pacific,121484,726.624,334,1.998,46,3015,18.033,0,0,0
Cameroon,Africa,116718,439.684,2605,9.813,0,1880,7.082,13,0.049,0
Trinidad and Tobago,Americas,113317,8097.033,5229,373.637,638,3433,245.304,86,6.145,10
Guadeloupe,Americas,104179,26036.679,13430,3356.459,0,855,213.684,11,2.749,0
Angola,Africa,98267,298.99,366,1.114,0,1895,5.766,2,0.006,0
Martinique,Americas,94259,25117.983,9788,2608.29,0,842,224.375,15,3.997,0
Democratic Republic of the Congo,Africa,85510,95.476,512,0.572,0,1278,1.427,0,0,0
Senegal,Africa,85072,508.077,363,2.168,0,1949,11.64,10,0.06,0
Malawi,Africa,84632,442.406,408,2.133,0,2564,13.403,20,0.105,0
Côte d’Ivoire,Africa,80783,306.248,296,1.122,0,785,2.976,3,0.011,0
French Guiana,Americas,76399,25578.709,1713,573.52,135,381,127.56,18,6.026,2
Suriname,Americas,74470,12694.5,2382,406.047,514,1271,216.661,19,3.239,4
Iceland,Europe,73530,20193.116,9327,2561.42,1394,49,13.457,3,0.824,2
Mauritius,Africa,70862,5571.928,128,10.065,0,786,61.804,0,0,0
Eswatini,Africa,68454,5900.373,215,18.532,0,1376,118.604,3,0.259,0
Malta,Europe,68430,13298.637,1495,290.537,240,559,108.636,18,3.498,3
Fiji,Western Pacific,63147,7044.158,818,91.249,0,809,90.245,18,2.008,0
Guyana,Americas,60385,7677.178,2189,278.303,276,1176,149.513,22,2.797,5
Madagascar,Africa,59319,214.217,1944,7.02,0,1274,4.601,51,0.184,0
Sudan,Eastern Mediterranean,58874,134.265,1339,3.054,0,3588,8.183,149,0.34,0
Mauritania,Africa,58335,1254.608,416,8.947,0,959,20.625,19,0.409,0
Cabo Verde,Africa,55739,10025.234,144,25.9,0,396,71.225,3,0.54,0
Belize,Americas,52775,13272.456,3716,934.542,771,629,158.188,5,1.257,0
Syrian Arab Republic,Eastern Mediterranean,51569,294.669,392,2.24,0,2995,17.114,16,0.091,0
French Polynesia,Western Pacific,49521,17628.903,1477,525.795,0,636,226.409,0,0,0
Gabon,Africa,47148,2118.312,679,30.507,0,301,13.524,0,0,0
Barbados,Americas,45897,15971.118,4542,1580.513,0,282,98.13,5,1.74,0
Burundi,Africa,37562,315.892,263,2.212,0,15,0.126,1,0.008,0
Seychelles,Africa,37470,38099.79,1148,1167.295,0,146,148.454,10,10.168,0
Curaçao,Americas,37426,22807.798,832,507.03,145,237,144.43,15,9.141,3
Papua New Guinea,Western Pacific,37390,417.904,524,5.857,0,597,6.673,0,0,0
Togo,Africa,36538,441.348,86,1.039,0,268,3.237,1,0.012,0
Mayotte,Africa,36474,13369.499,192,70.377,38,187,68.545,0,0,0
Andorra,Europe,36470,47201.191,1442,1866.304,155,147,190.254,2,2.588,1
Guinea,Africa,36166,275.387,154,1.173,0,419,3.19,3,0.023,0
Aruba,Americas,33146,31045.464,584,546.991,102,193,180.769,0,0,0
United Republic of Tanzania,Africa,32920,55.111,0,0,0,778,1.302,0,0,0
Bahamas,Americas,32645,8301.462,269,68.405,0,748,190.213,13,3.306,0
Lesotho,Africa,32258,1505.801,209,9.756,0,694,32.396,4,0.187,0
Jersey,Europe,31882,29576.237,2340,2170.767,320,104,96.479,5,4.638,1
Mali,Africa,30102,148.646,152,0.751,0,715,3.531,4,0.02,0
Haiti,Americas,29549,259.144,332,2.912,0,804,7.051,18,0.158,0
Guam,Western Pacific,28237,16730.558,3381,2003.259,0,296,175.381,12,7.11,0
Benin,Africa,26498,218.573,48,0.396,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26067,164.013,1745,10.98,0,1335,8.4,0,0,0
New Caledonia,Western Pacific,24627,8625.98,6588,2307.547,1260,284,99.475,1,0.35,0
Congo,Africa,23705,429.587,52,0.942,0,371,6.723,0,0,0
Faroe Islands,Europe,22300,45635.936,4897,10021.488,843,19,38.883,1,2.046,0
Isle of Man,Europe,21563,25358.688,522,613.887,65,73,85.85,2,2.352,2
Saint Lucia,Americas,21200,11545.143,1008,548.939,119,333,181.346,7,3.812,0
Burkina Faso,Africa,20649,98.784,58,0.277,0,371,1.775,5,0.024,0
Timor-Leste,South-East Asia,20240,1535.142,342,25.94,63,122,9.253,0,0,0
Tajikistan,Europe,17733,185.926,70,0.734,4,125,1.311,0,0,0
New Zealand,Western Pacific,16901,350.481,1286,26.668,273,53,1.099,1,0.021,0
Brunei Darussalam,Western Pacific,16891,3860.985,639,146.064,200,59,13.486,0,0,0
South Sudan,Africa,16820,150.263,45,0.402,0,137,1.224,0,0,0
Cayman Islands,Americas,15934,24245.283,2200,3347.535,2146,16,24.346,1,1.522,1
Equatorial Guinea,Africa,15828,1128.166,54,3.849,0,182,12.972,0,0,0
Djibouti,Eastern Mediterranean,15475,1566.296,64,6.478,0,189,19.13,0,0,0
United States Virgin Islands,Americas,14935,14302.131,179,171.415,0,102,97.678,4,3.831,0
Central African Republic,Africa,14023,290.345,183,3.789,0,110,2.278,1,0.021,0
Nicaragua,Americas,13727,207.214,46,0.694,0,221,3.336,1,0.015,0
Gibraltar,Europe,13394,39755.424,953,2828.649,215,101,299.783,1,2.968,0
San Marino,Europe,13328,39271.613,857,2525.193,0,109,321.174,0,0,0
Grenada,Americas,12698,11284.804,741,658.532,109,211,187.517,1,0.889,0
Gambia,Africa,11863,490.882,291,12.041,0,364,15.062,17,0.703,0
Guernsey,Europe,11570,17946.888,576,893.467,100,31,48.086,1,1.551,1
Yemen,Eastern Mediterranean,11145,37.367,203,0.681,0,2018,6.766,13,0.044,0
Greenland,Europe,11025,19419.784,666,1173.114,100,6,10.569,1,1.761,0
Bermuda,Americas,10879,17469.85,420,674.45,86,117,187.882,2,3.212,0
Eritrea,Africa,9580,270.131,144,4.06,0,99,2.792,2,0.056,0
Liechtenstein,Europe,9514,24554.159,669,1726.585,0,70,180.659,0,0,0
Saint Martin,Americas,9433,24400.528,520,1345.094,0,42,108.642,1,2.587,0
Sint Maarten,Americas,9353,21811.016,150,349.797,15,79,184.226,0,0,0
Dominica,Americas,9032,12546.013,305,423.664,0,51,70.842,0,0,0
Niger,Africa,8656,35.759,24,0.099,0,301,1.243,4,0.017,0
Monaco,Europe,8637,22008.46,553,1409.133,55,48,122.312,2,5.096,0
Saint Vincent and the Grenadines,Americas,8035,7242.654,149,134.307,96,95,85.632,2,1.803,1
Comoros,Africa,7832,900.643,18,2.07,0,160,18.399,1,0.115,0
Guinea-Bissau,Africa,7691,390.803,172,8.74,0,156,7.927,2,0.102,0
Sierra Leone,Africa,7623,95.562,15,0.188,0,125,1.567,0,0,0
Liberia,Africa,7272,143.781,18,0.356,0,290,5.734,0,0,0
Chad,Africa,7157,43.572,82,0.499,0,190,1.157,0,0,0
Antigua and Barbuda,Americas,6732,6874.368,290,296.133,0,127,129.686,1,1.021,0
Bonaire,Americas,6545,31293.33,354,1692.565,18,28,133.875,2,9.563,1
British Virgin Islands,Americas,5928,19605.12,89,294.341,0,51,168.668,2,6.614,0
Sao Tome and Principe,Africa,5903,2693.478,36,16.426,0,70,31.94,1,0.456,0
Turks and Caicos Islands,Americas,5770,14902.629,111,286.688,25,34,87.814,0,0,0
Bhutan,South-East Asia,5720,741.309,1290,167.183,188,4,0.518,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,5575,9686.05,1011,1756.52,261,23,39.96,0,0,0
Saint Kitts and Nevis,Americas,5453,10251.542,85,159.798,7,37,69.559,4,7.52,0
Saint Barthélemy,Americas,3427,34668.69,209,2114.315,0,4,40.465,0,0,0
Anguilla,Americas,2361,15737.902,91,606.586,0,8,53.326,1,6.666,0
Solomon Islands,Western Pacific,2357,343.144,1602,233.227,190,21,3.057,16,2.329,6
Palau,Western Pacific,2115,11690.25,1093,6041.344,175,0,0,0,0,0
Kiribati,Western Pacific,913,764.343,732,612.814,146,0,0,0,0,0
Saint Pierre and Miquelon,Americas,828,14288.179,200,3451.251,0,1,17.256,1,17.256,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,390,12424.339,74,2357.439,8,1,31.857,0,0,0
Saba,Americas,200,10346.611,1,51.733,0,0,0,0,0,0
Montserrat,Americas,163,3260.652,2,40.008,0,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,91,2612.69,2,57.422,2,0,0,0,0,0
Samoa,Western Pacific,33,16.632,4,2.016,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Tonga,Western Pacific,5,4.731,4,3.784,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
